iter,time,reward,steps,convergence
1,0.0276840380000003,-7424.0,186.88,117.42400000000002
2,0.04927515300000085,-442.4,15.56,171.05531090439857
3,0.06974355900000084,-288.8,11.72,97.78862261775501
4,0.09732282000000048,-272.8,11.32,86.48280319004215
5,0.11984512800000058,-342.4,13.06,0.04214246416017886
6,0.1254146820000006,-309.6,12.24,0.0002874163282626796
7,0.12930933600000039,-304.8,12.12,0.00010531322300266766
8,0.13145353600000043,-290.4,11.76,3.85674352969545e-05
9,0.13397691300000059,-288.8,11.72,1.4121014601187198e-05
10,0.1447214610000005,-295.2,11.88,5.170339079541009e-06
11,0.1481573540000003,-288.8,11.72,1.8934397871817055e-06
12,0.15125137800000044,-308.8,12.22,6.936067507012922e-07
