iter,time,reward,steps,convergence
1,0.008785869,-6800.0,171.98,104.0
2,0.012978584999999931,-7360.8,185.72,51.33888000000002
3,0.015550025999999884,-6227.2,157.94,38.21558570337484
4,0.018448734999999994,-1032.8,30.32,33.59928657321947
5,0.02209058499999994,-318.4,12.46,29.56351429038864
6,0.031256046000000204,-309.6,12.24,26.038308757163946
7,0.04012303000000017,-296.8,11.92,22.955216116292206
8,0.044164947999999704,-308.0,12.2,19.923960394697787
9,0.04975801600000018,-308.8,12.22,17.740250465703383
10,0.054323184000000246,-308.0,12.2,15.856897362020192
11,0.056909645000000175,-286.4,11.66,13.75844578423181
12,0.060164399999999674,-328.8,12.72,10.325072875989292
13,0.06509280999999945,-280.0,11.5,6.137865086959835
14,0.06761477299999985,-308.0,12.2,2.834659810278083
15,0.0716034849999998,-276.0,11.4,1.193167470414494
16,0.07774432899999972,-306.4,12.16,0.4793452609420683
17,0.09276876499999975,-289.6,11.74,0.1870299923884886
18,0.09643495599999952,-285.6,11.64,0.07152254961465587
19,0.11005392799999925,-315.2,12.38,0.026962891005553047
20,0.12365163899999931,-315.2,12.38,0.01006067629964491
21,0.13220697899999934,-320.0,12.5,0.0037262108976960917
22,0.13539464299999882,-297.6,11.94,0.00137272040467451
23,0.1382847079999987,-302.4,12.06,0.0005037571152115561
24,0.14200487899999814,-303.2,12.08,0.00018435751007928047
25,0.14521290899999784,-309.6,12.24,6.733683778747945e-05
26,0.1483525679999973,-280.8,11.52,2.4561731493122352e-05
27,0.15977716399999764,-305.6,12.14,8.951106337917736e-06
28,0.1672213059999974,-304.8,12.12,3.2602833925921004e-06
29,0.1724117579999973,-293.6,11.84,1.1871593414980453e-06
30,0.17917245799999737,-274.4,11.36,4.322403128753649e-07
