iter,time,reward,steps,convergence
1,0.0012084509999965576,-7780.0,195.64,91.2
2,0.001992743000016617,-5833.2,128.98,83.47268311137864
3,0.0021449690000281407,-4443.2,113.44,75.6482133311183
4,0.002385308000043551,-1378.4,37.04,67.18344552135464
5,0.002497965000060276,-6102.8,154.22,67.16507832189973
6,0.002570709000053739,-1918.0,52.38,58.75396310307434
7,0.0033183620000727387,-6155.6,155.12,50.25457430662093
8,0.003349848000084421,-7017.6,168.98,41.883404300283956
9,0.0034095010000783077,-508.4,17.14,34.87849931030044
10,0.003466240000079779,-1999.2,53.38,26.56856172093368
11,0.003517501000089851,-723.2,20.04,26.462997110449272
12,0.003549934000062649,-960.0,27.26,25.99777429770534
13,0.003632273000079067,-617.2,18.9,25.41448103626447
14,0.0036605550000956555,-539.6,17.92,27.263537981308268
15,0.003740478000111125,-538.0,17.88,18.368442586211255
16,0.003779245000117726,-291.2,11.78,18.789941416249732
17,0.0038152910001088003,-449.2,15.66,19.792247836903492
18,0.003842598000119324,-291.2,11.78,19.14587111122712
19,0.003873670000132279,-277.6,11.44,17.054875128715857
20,0.003957730000138326,-645.6,20.02,16.511531562775055
21,0.003983524000148009,-298.4,11.96,15.110203141779968
22,0.004027082000163773,-459.6,15.92,16.782535639763136
23,0.0040636920001588805,-925.6,26.88,17.393816196812015
24,0.004092381000162959,-454.0,15.78,15.244033055291581
25,0.004132219000155146,-626.4,20.02,15.00604567346831
26,0.004165741000150547,-467.6,16.12,14.570050523869762
27,0.0045151440001518495,-445.6,14.68,13.294275497390085
28,0.004565553000134059,-406.4,14.18,13.776656402889813
29,0.004591974000135224,-307.2,12.18,13.895083671794463
30,0.004701137000154176,-298.4,11.96,13.93859710672607
31,0.00473828100015794,-504.0,16.14,14.03126217176866
32,0.004769467000159011,-308.0,12.2,13.594225766303063
33,0.00479426900017188,-309.6,12.24,13.408360620245102
34,0.004818666000176108,-304.8,12.12,13.901587008353015
35,0.004859647000159839,-407.2,14.68,15.855114171761068
36,0.0048938080001619255,-281.6,11.54,16.15260310082849
37,0.004940927000177453,-299.2,11.98,17.09612320319976
38,0.00497149900019167,-336.0,12.9,18.705354405281355
39,0.0050261250001994995,-300.8,12.02,19.322623191902633
40,0.005066534000178535,-639.2,20.34,20.371738447407
41,0.005095101000165414,-469.2,16.16,20.205839103104488
42,0.005128933000179359,-433.2,15.26,18.871356120151926
43,0.005154997000175854,-510.0,16.7,18.600746805799872
44,0.00519092500016427,-458.8,15.42,17.512088052508865
45,0.005235557000190738,-297.6,11.94,17.604231241975572
46,0.005266187000188438,-461.2,15.96,17.256676708294073
47,0.005307500000185428,-312.8,12.32,16.643956962070934
48,0.00535660300016616,-296.0,11.9,14.93646143722465
49,0.0054131770001504265,-306.4,12.16,15.259187440511852
50,0.005461483000146927,-485.2,16.56,14.390116067432132
51,0.005508293000133335,-291.2,11.78,15.207815585903688
52,0.005588880000146901,-500.4,16.94,14.286241214731882
53,0.0056275610001534915,-301.6,12.04,13.326535128358064
54,0.005652357000144548,-304.8,12.12,14.286487669358104
55,0.005685401000135926,-293.6,11.84,13.1868323547176
56,0.00571967600015455,-286.4,11.66,12.597932992119564
57,0.005743213000158676,-490.8,16.22,11.597662542663986
58,0.0057744290001551235,-338.4,12.96,12.814467321310124
59,0.005803004000142664,-443.6,15.52,12.414921555629558
60,0.005829424000154404,-278.4,11.46,11.895764166318273
61,0.0058603950001554495,-283.2,11.58,12.02144964674299
62,0.00589395700015416,-299.2,11.98,13.774554785746261
63,0.005916656000152898,-382.4,14.06,14.584857432201431
64,0.005947458000150618,-318.4,12.46,13.64102120980966
65,0.005984603000143807,-446.0,15.58,12.638688906952556
66,0.006011081000139029,-324.8,12.62,15.29823017905971
67,0.006052653000153896,-285.6,11.64,15.776908580865069
68,0.006094137000161481,-296.8,11.92,14.155897429472413
69,0.006138293000162776,-307.2,12.18,15.342593998484507
70,0.006204094000139548,-315.2,12.38,16.559344056538944
71,0.006235485000132712,-276.0,11.4,18.248386653110675
72,0.006271128000122417,-299.2,11.98,18.02412530314417
73,0.006344791000117311,-304.0,12.1,19.86074355493239
74,0.006391634000124213,-288.0,11.7,21.89425150577466
75,0.006423617000137938,-317.6,12.44,22.141280387543247
76,0.006462189000131957,-445.2,15.56,20.912766284749022
77,0.006498314000140226,-319.2,12.48,21.50649234907207
78,0.006539644000127964,-286.4,11.66,22.469747809149737
79,0.006581718000120418,-312.8,12.32,20.971833202673906
80,0.00661890000012022,-279.2,11.48,21.29688633733766
81,0.006661400000098183,-280.8,11.52,19.316826195297118
82,0.006699920000073689,-469.2,15.68,18.33062836816192
83,0.006734930000078521,-305.6,12.14,15.86319416620687
84,0.006763115000097741,-497.2,16.38,14.899016871826387
85,0.0067866570001058335,-286.4,11.66,15.417517167948546
86,0.006818558000105668,-322.4,12.56,14.60894075283828
87,0.006854577000098061,-462.0,15.98,15.821506481749726
88,0.006883042000083606,-290.4,11.76,15.572712210196073
89,0.00690865700008203,-317.6,12.44,15.498278668153329
90,0.006936960000103909,-490.8,16.22,16.302633138578365
91,0.006975123000103167,-289.6,11.74,16.566311847763973
92,0.007008881000103884,-478.0,15.42,18.62544036522117
93,0.007046397000095794,-505.2,16.1,19.710935910372964
94,0.00709034900009442,-327.2,12.68,21.136923322797184
95,0.007130881000108502,-267.2,11.18,22.1330806631094
96,0.007154424000106019,-462.8,16.0,22.77587881195318
97,0.007196711000119649,-293.6,11.84,22.51789112539442
98,0.007221822000104794,-303.2,12.08,22.666824973783687
99,0.007249959000091621,-337.6,12.94,23.05287251273247
100,0.007299065000097471,-487.6,16.62,22.069362194784098
101,0.007339988000097719,-306.4,12.16,22.15552253381446
102,0.007375207000109185,-380.0,14.0,20.321907368287278
103,0.007402932000104556,-478.8,15.92,21.136499577813098
104,0.007425179000108528,-302.4,12.06,19.512513067686246
105,0.007457933000097228,-309.6,12.24,17.76029564555507
106,0.0074982000001000415,-276.8,11.42,16.755145049559065
107,0.00752208900010487,-296.8,11.92,15.814440691393656
108,0.007550296000118806,-269.6,11.24,17.242735363553376
109,0.007607787000125654,-336.0,12.9,19.32431086585642
110,0.007636200000149529,-286.4,11.66,19.542407778800502
111,0.007684836000152018,-483.6,16.52,19.45691577552595
112,0.007719349000154807,-461.2,15.96,20.263661115054024
113,0.007762171000138096,-326.4,12.66,19.220543673047978
114,0.007807352000128276,-328.8,12.72,18.887653730436995
115,0.007844310000137966,-297.6,11.94,21.011778379970213
