iter,time,reward,steps,convergence
1,0.19643113900000486,-11960.0,300.0,306.88
2,0.23783659000000767,-11960.0,300.0,123.41630819238196
3,0.27518994500000815,-11960.0,300.0,78.54407593847259
4,0.31258424000000673,-11960.0,300.0,66.06296894693088
5,0.34894348300000644,-11960.0,300.0,38.601199109248796
6,0.40829702700001036,-11960.0,300.0,13.625670057260777
7,0.44176773900000654,-11826.0,296.72,8.596308683963855
8,0.47638950300000715,-2773.6,73.84,5.129950134401895
9,0.5107100460000069,-2012.0,54.8,3.282019619625032
10,0.5442967450000111,-2011.2,54.78,1.508795916343388
11,0.5783968060000149,-1995.6,54.39,0.5336998234285488
12,0.5907471070000199,-1974.4,53.86,0.0037787485005083
13,0.5958562270000201,-1958.0,53.45,0.0004308807701818296
14,0.601255163000026,-2004.0,54.6,0.00019763595196309325
15,0.6063993550000291,-2023.6,55.09,8.874035711414763e-05
16,0.6119686850000292,-1990.8,54.27,3.911689475444291e-05
17,0.6171931660000283,-2015.6,54.89,1.69678021393338e-05
18,0.6224054110000239,-1996.4,54.41,7.25716131455556e-06
19,0.6277136020000285,-1964.8,53.62,3.065595478801697e-06
20,0.634026667000029,-2011.2,54.78,1.2808174005840556e-06
21,0.6399116540000236,-1964.0,53.6,5.299217491483432e-07
