iter,time,reward,steps,convergence
1,0.021927908,-11960.0,300.0,306.88
2,0.02892323100000005,-11960.0,300.0,128.3904
3,0.036140269000000114,-11960.0,300.0,79.29570816000006
4,0.042355618000000206,-11960.0,300.0,44.505588879360005
5,0.059514438000000336,-11960.0,300.0,33.5283793326991
6,0.07164108400000035,-11960.0,300.0,28.570649148098653
7,0.0779348820000001,-11960.0,300.0,24.93695981483154
8,0.08400941899999914,-11960.0,300.0,21.927444948302536
9,0.09041706600000055,-11960.0,300.0,18.00314721854471
10,0.09660088900000119,-11960.0,300.0,16.03989510938203
11,0.10313527200000117,-11960.0,300.0,14.290433042601478
12,0.11075572100000208,-11960.0,300.0,12.754408478749099
13,0.11745448000000103,-11960.0,300.0,11.394254682451162
14,0.12362197200000224,-11960.0,300.0,10.233654391529853
15,0.13013408000000304,-11960.0,300.0,9.191029779516555
16,0.1365375490000016,-11960.0,300.0,8.252673409386546
17,0.1430175490000014,-11960.0,300.0,7.408480611857442
18,0.14919037099999954,-11960.0,300.0,6.64926642733991
19,0.1557537189999998,-11960.0,300.0,5.966694535227873
20,0.16201789400000166,-11960.0,300.0,5.353208528444327
21,0.16853412600000084,-11960.0,300.0,4.801966429812126
22,0.17526592700000165,-11960.0,300.0,4.3067789806997325
23,0.18267055700000157,-11960.0,300.0,3.8620519668605766
24,0.18914232300000222,-11960.0,300.0,3.462732661337668
25,0.19544753100000278,-11960.0,300.0,3.1042603389166175
26,0.2019151220000026,-11960.0,300.0,2.782520734163654
27,0.21187706400000295,-11960.0,300.0,2.493804263112338
28,0.21820188700000287,-11960.0,300.0,2.234767798134669
29,0.22477435300000437,-11960.0,300.0,2.002399769950216
30,0.23183551100000344,-11960.0,300.0,1.7939883654796063
31,0.23870983400000156,-11960.0,300.0,1.6070925920165564
32,0.2453245740000014,-11960.0,300.0,1.4395159846437764
33,0.25241276300000237,-11897.4,298.47,1.2892827432684726
34,0.2591655880000019,-11960.0,300.0,1.1546160969307948
35,0.2658947220000023,-11960.0,300.0,1.0339187053028809
36,0.2720783370000035,-11960.0,300.0,0.925754919968881
37,0.27872191100000165,-11895.4,298.42,0.8288347407473111
38,0.285100142000001,-11892.2,298.34,0.741999314715315
39,0.2911505319999961,-11655.2,292.59,0.6642078375405163
40,0.29743024599999757,-11756.2,295.08,0.593836116299201
41,0.3035270479999994,-8771.4,222.35,0.5307830666237692
42,0.3097057289999938,-8852.2,224.3,0.47440130853215123
43,0.31587873699999847,-2684.4,71.61,0.4240013877539468
44,0.3222039759999973,-2137.0,57.89,0.3789517704258287
45,0.32897135099999275,-2028.0,55.2,0.33868547317422326
46,0.33510161799999594,-1974.4,53.86,0.3026951480720186
47,0.34126351599999794,-1957.2,53.43,0.27052711035696575
48,0.34938929899999494,-2005.6,54.64,0.24177573229212612
49,0.35581666099999865,-2041.6,55.54,0.21607835621671256
50,0.3619874819999964,-2015.6,54.89,0.19310493825008734
51,0.3681700079999928,-2012.8,54.82,0.1723630778055849
52,0.3745640619999975,-2018.4,54.96,0.15368268850187405
53,0.3808704959999929,-1982.4,54.06,0.13693153029277028
54,0.387517117999991,-1990.0,54.25,0.12195411174604942
55,0.39375323099999093,-1995.2,54.38,0.10858995718996312
56,0.39988961999999617,-2024.4,55.11,0.09667905634717044
57,0.4061901729999917,-1980.4,54.01,0.0838353924572175
58,0.4124566849999951,-2004.4,54.61,0.0675584729763159
59,0.41891586199999153,-2028.0,55.2,0.05988560635091744
60,0.4250379569999936,-1951.6,53.29,0.04628764238259464
61,0.4311347269999928,-2004.4,54.61,0.03106773527417772
62,0.4391809159999909,-1984.8,54.12,0.018674810566267297
63,0.4453573149999883,-1968.4,53.71,0.01034284121442397
64,0.4515298949999931,-2010.4,54.76,0.005389639490999798
65,0.4578276129999921,-1988.8,54.22,0.0026821369664276062
66,0.4639120839999933,-1958.4,53.46,0.0012883267767165307
67,0.47043268999999555,-2008.4,54.71,0.0006019522305678038
68,0.4771834109999986,-2001.2,54.53,0.00027516579416442255
69,0.4832855419999973,-2047.2,55.44,0.0001236022900457101
70,0.48940264599999495,-2021.2,54.79,5.474330794186244e-05
71,0.4960476569999983,-2000.8,54.52,2.3969889525687904e-05
72,0.502091441999994,-2012.8,54.58,1.0398102858744096e-05
73,0.5083075429999937,-2012.4,54.81,4.476493359106826e-06
74,0.5146288049999939,-2023.2,55.08,1.9152256527377176e-06
75,0.5206839279999897,-2063.6,56.09,8.152504733516253e-07
